group,feature,purpose,data_source,why_it_may_help,evidence_from_eda,potential_risk_leakage,priority
TEMPORAL,day_of_week (weekday),Capture weekly demand cycle,calendar.csv (joined),Sales differ systematically by day of week,"Weekend mean sales 1.361 vs weekday-only mean 1.038 units, a +31.1% difference (Phase 4). Consistent across all 3 categories (Phase 4 weekday x category table).",None - calendar date is known for the entire 28-day forecast horizon in advance.,High
TEMPORAL,is_weekend,Simplified binary version of day-of-week,calendar.csv (joined),Captures the dominant Sat/Sun step-change in one binary flag,Same weekend vs weekday +31.1% evidence as day_of_week (Phase 4).,None - known in advance.,Medium
TEMPORAL,month,Capture broad seasonal (monthly) demand shifts,calendar.csv (joined),Some months sell more than others,Highest month (Aug) vs lowest (Dec): 8.99% difference in mean sales (Phase 4). Real but modest compared to the weekday effect.,None - known in advance.,Medium
TEMPORAL,week_of_year,Finer-grained seasonal pattern than month,calendar.csv (joined),May capture within-month seasonal detail (e.g. late-summer peak around week 36),"Mean sales range from 0.944 (week 52) to 1.231 (week 36) across the year (Phase 4) - about a 23% spread, but only 5 years of data to learn 52 levels from.",Risk of overfitting with high cardinality (52 levels) relative to only ~5 observed years per week. None from a pure availability standpoint - known in advance.,Low
TEMPORAL,year / time trend,Capture long-run growth or decline,calendar.csv (joined),Long-term trend visible in daily totals,"Yearly total sales rose from 2011-2015 (Phase 4), but active-series count also rose from 16,762 to 30,474 over the same period - the apparent growth is at least partly a composition effect (more items listed), not proven organic per-item growth (Phase 4 composition check).",HIGH: raw categorical 'year' will contain values (2017+) never seen in training - cannot be used as a plain category. A continuous time index would generalize better but still risks conflating listing growth with real trend. Needs team discussion before use.,Low
LAG,lag_1 (sales 1 day before forecast origin),Capture most recent demand level,sales_long_full.parquet (self),Yesterday's sales is the single strongest predictor found in this EDA,Pearson r = 0.768 with same-day sales - the highest of all lags tested (Phase 9).,"HIGH: only safe when computed relative to the forecast ORIGIN date, not per-target-day. In a direct 28-day-ahead model, 'lag_1 relative to each of the 28 target days' would require already knowing near-future sales - that is leakage. Safe only for a recursive (day-by-day) forecasting strategy or for the h=1 target.",High (with the origin-relative caveat)
LAG,lag_7,Capture same-weekday demand a week ago,sales_long_full.parquet (self),Controls for day-of-week while looking at recent history,Pearson r = 0.720 with same-day sales (Phase 9).,Same origin-relative caveat as lag_1 - safe only relative to the forecast origin or within a recursive strategy.,High (with caveat)
LAG,lag_14,Capture bi-weekly demand echo,sales_long_full.parquet (self),Secondary recent-history signal,Pearson r = 0.689 with same-day sales (Phase 9).,Same origin-relative caveat as lag_1/lag_7.,Medium
LAG,lag_28 (relative to forecast origin),Capture demand from exactly one horizon-length ago,sales_long_full.parquet (self),The only single lag that is naturally available for EVERY one of the 28 target days from a fixed origin,Pearson r = 0.672 with same-day sales - still strong despite the longer gap (Phase 9).,LOW leakage risk when defined as (origin date - 28 days) and held constant across the whole 28-day horizon - this is the safest lag for a direct multi-horizon model.,High
ROLLING,rolling_mean_7 (as of origin),Smooth recent noise into a stable demand-level estimate,sales_long_full.parquet (self),Strongest single relationship found in this entire EDA,Pearson r = 0.820 with same-day sales - higher than any raw lag (Phase 9).,"HIGH: must be computed using only days up to and including the forecast origin, then held constant across all 28 target days - never recomputed using dates inside the forecast horizon.",High
ROLLING,rolling_mean_28 (as of origin),Longer-window stable demand-level estimate,sales_long_full.parquet (self),Nearly as strong as the 7-day window and more stable for sparse series,Pearson r = 0.807 with same-day sales (Phase 9).,Same as rolling_mean_7 - origin-only window required.,High
ROLLING,rolling_std_7 / rolling_std_28,Capture recent demand volatility,sales_long_full.parquet (self),"Series volatility varies a lot (per-series coefficient of variation), which plain mean-based features do not capture","Series-level CV is highly dispersed - a meaningful share of series have CV > 2 (Phase 2, series_level_sales_stats.csv). Not yet correlated directly against sales in this EDA.",Same origin-only window requirement as the rolling means. Not yet evidence-tested for direct correlation with the target - flagged for follow-up.,Medium
DEMAND,days_since_last_sale (as of origin),Capture how long a series has been in a dry spell,sales_long_full.parquet (self),The single cleanest relationship found in the whole EDA,P(sale today) falls from 65.2% (sold yesterday) to 38.3% (1-3 days dry) to 22.2% (4-7) to 12.7% (8-14) to 6.2% (15-28) to 0.6% (29+ days dry) - a near-monotonic staircase (Phase 9).,"LOW risk if computed strictly using history up to the origin date (a simple running count, no future data involved).",High
DEMAND,"zero_streak_length (current, as of origin)",Same underlying signal as days_since_last_sale in run-length form,sales_long_full.parquet (self),Directly usable for intermittent-demand-aware modeling approaches,"Zero-run lengths are highly right-skewed: median 2 days, mean 6.08 days, p99 = 52 days, max 1845 days (Phase 3). Streak length varies meaningfully by category/department (Phase 3, zero_streak_by_department.csv).",Same as days_since_last_sale - must use only pre-origin history.,High
DEMAND,"recent_nonzero_rate (e.g. pct nonzero days in last 28, as of origin)",Capture a series' recent activity level in a single normalized number,sales_long_full.parquet (self),Complements rolling_mean by focusing on frequency rather than volume - useful for very low-volume series where the mean is close to zero anyway,"Directly related to the per-series zero% distribution documented in Phase 3 (mean 68.0%, std 22.3%, full distribution in series_zero_pct.csv).",LOW risk if computed on a trailing window ending at the origin (not the full series).,High
